able ebL
silly sIli
simple sImpL
since sIns
sing sIN
sir s3
sissy sIsi
sister sIstR
sister's sIstRz
sit sIt
sits sIts
sitting sItIN
situation sIcueS~
six sIks
size s9z
skipped skIpt
skips skIps
sky sk9
sleep slip
sleeping slipIN
sleeps slips
sleepy slipi
sleeve sliv
sleeves slivz
slew slu
slick slIk
slide sl9d
slightest sl9tIst
slippers slIpRz
small smOl
smaller smOlR
smart sm#t
smell smEl
smelling smElIN
smells smElz
smile sm9l
smiles sm9lz
snake snek
snap sn&p
snaps sn&ps
sneakers snikRz
snow sno
snowblower snobloR
snowed snod
snowing snoIN
snowman snom&n
snows snoz
so so
sock sak
socks saks
soft sOft
some s6m
somebody sAmbadi
someone sAmwAn
someone's sAmwAnz
something sAmTIN
something's sAmTINz
sometimes sAmt9mz
somewhere sAmW*
song sON
songs sONz
soon sun
sophisticated s6fIstIketId
sorry s%i
sort s%t
sound sQnd
sounded sQndId
sounding sQndIN
sounds sQndz
soup sup
space spes
spank sp&Nk
spanked sp&Nkt
speak spik
speaking spikIN
speaks spiks
specific spIsIfIk
spend spEnd
spends spEndz
spills spIlz
spontaneously spanteni6s
spools spulz
spoon spun
spoons spunz
spring sprIN
square skw*
squeak skwik
squirrel skw3L
squirrels skw3Lz
stack st&k
stacked st&kt
stacking st&kIN
stacks st&ks
stage steG
stages steGIz
stand st&nd
standing st&ndIN
start st#t
started st#tId
starting st#tIN
starts st#ts
starved st#vd
stay ste
stays stez
steak stek
steak's steks
steam stim
steer st(
stegosaurus stEg6s%6s
stereos st*ioz
stick stIk
sticking stIkIN
sticks stIks
still stIl
stock stak
stomach stAm6k
stoneham stonM
stood stUd
stop stap
stopped stapt
store st%
stores st%z
stories st%iz
storm st%m
story st%i
stove stov
strange strenG
strap str&p
straps str&ps
strawberries strOb*iz
strawberry strOb*i
street strit
strings strINz
stroller strolR
stronger strONR
structure strAkcR
struggle strAgL
stuck stAk
stuff stAf
stuffed stAft
subject sAbGIkt
substituted sAbstItutId
successful s6ksEsfL
such sAc
suchi suci
sucking sAkIN
sudden sAd~
suddenly sAd~li
suggestion s6gGEsc~
suit sut
suits suts
summer sAmR
summers sAmRz
sun sAn
sunflower sAnflQR
super supR
supper sApR
supply s6pl9
supposed s6pozd
sure S3
surface s3fIs
surprised sRpr9zd
susie suzi
suspenders s6spEndR
susy suzi
suzie suzi
suzy suzi
sweater swEtR
sweaters swEtRz
sweet swit
sweetheart swith#t
swim swIm
swimming swImIN
swing swIN
swinging swININ
swings swINz
symbiotic sImbiatIk
table tebL
tail tel
take tek
taken tek~
takes teks
taking tekIN
talk tOk
talkative tOk6tIv
talked tOkt
talking tOkIN
talks tOks
tall tOl
tangling t&NglIN
tank t&Nk
tape tep
taste test
tastes tests
tata t&t&
tata's t&t&z
taught tOt
tea ti
teach tic
teacher ticR
teaching ticIN
tear t(
tears t(z
teas tiz
teeth tiT
telephone tEl6fon
telephone's tEl6fonz
television tEl6vIZ~
televisions tEl6vIZ~z
tell tEl
telling tElIN
tells tElz
ten tEn
tend tEnd
tennis tEnIs
tents tEnts
term t3m
terms t3mz
terrible t*6bL
terribly t*6bli
test tEst
tested tEstId
than D&n
thank T&Nk
that D&t
that's D&ts
the D6
their D*
them DEm
them's DEmz
then DEn
there D*
there's D*z
these Diz
they De
they're D*
they've Dev
thick TIk
thin TIn
thing TIN
things TINz
think TINk
thinking TINkIN
thinks TINks
third T3d
this DIs
those Doz
though Do
thought TOt
thread TrEd
three Tri
threes Triz
threw Tru
throat Trot
through Tru
throw Tro
throwing TroIN
thrown Tron
throws Troz
thumb TAm
thumbs TAmz
tickle tIkL
ticks tIks
tie t9
tied t9d
ties t9z
tiger t9gR
tigers t9gRz
time t9m
times t9mz
tired t9Rd
tissues tISuz
to tu
toast tost
today t6de
today's t6dez
toe to
toes toz
together t6gEDR
told told
tomorrow t6m#o
ton tAn
tonga taNg6
tongue tAN
tongue's tANz
tonight t6n9t
tons tAnz
too tu
took tUk
top tap
totally totLi
touch tAc
touching tAcIN
towards t%dz
tower tQR
towers tQRz
toy t7
toys t7z
tracks tr&ks
train tren
trains trenz
tray tre
tree tri
tricky trIki
tricycle tr9sIkL
tried tr9d
tries tr9z
trike tr9k
trip trIp
tripping trIpIN
trouble trAbL
truck trAk
trucks trAks
true tru
trunk trANk
truthfully truTf6li
try tr9
trying tr9IN
tulip tulIp
tulips tulIps
tumble tAmbL
tumbled tAmbLd
tummy tAmi
tunes tunz
turn t3n
turned t3nd
turns t3nz
turtle t3tL
turtle's t3tLz
tv tivi
twenty twEnti
twice tw9s
two tu
ukelele yuk6leli
umbrella AmbrEl6
unbearable Anb*6bL
unbreakable Anbrek6bL
unbutton AnbAt~
uncle ANkL
unconsciously AnkanS6sli
under AndR
underpants AndRp&nts
understand AndRst&nd
understanding AndRst&ndIN
understands AndRst&ndz
understood AndRstUd
undo Andu
undress AndrEs
undressing AndrEsIN
unicorn yunIk%n
unique yunik
unless AnlEs
unload Anlod
unlock Anlak
unravels Anr&vLz
unsnap Ansn&p
untie Ant9
untied Ant9d
unties Ant9z
until AntIl
untying Ant9IN
unzip AnzIp
unzipped AnzIpt
unzipping AnzipIN
up Ap
upside Aps9d
urge 3G
us As
use yuz
used yuzd
uses yuzIz
usually yuZw6li
utensils yutEnsIlz
vacation vekeS~
vacuum v&kyum
vacuums v&kyumz
valentine v&l~t9n
vanilla v6nIl6
verbalize v3b6l9z
very v*i
viewpoint vyup7nt
vigorously vIgR6s
vine v9n
vinnie vIni
vintage vIntIG
violin v96lIn
virginia vRGIny6
virtually v3cu6li
visiting vIzItIN
vividly vIvIdli
vocal vokL
voice v7s
voices v7sIz
volunteer val~t(
wagon weg~
wait wet
wake wek
wakes weks
waking wekIN
walk wOk
walked wOkt
walking wOkIN
walks wOks
wall wOl
walls wOlz
walt wOlt
wanna wan6
want want
want's wants
wanted wantId
wants wants
warm w%m
was wAz
wash waS
washcloth waSklOT
washed waSt
washes waSIz
washing waSIN
wasn't wAz~t
watch wac
watched wact
watches wacIz
watching wacIN
water wOtR
wave wev
waves wevz
waving wevIN
way we
ways wez
we wi
we'll wil
we're w(
we've wiv
wear w*
wearing w*IN
wears w*z
week wik
weekend wikEnd
weeks wiks
weird w(d
welcome wElkM
well wEl
went wEnt
were w3
whack W&k
whale Wel
what WAt
what's WAts
whatever WAtEvR
wheat Wit
wheelbarrow Wilb*o
wheels Wilz
when WEn
whence WEns
whenever WEnEvR
where W*
where'd W*d
where's W*z
whereas W*&z
whereupon W*6pan
wherever W*EvR
whether WEDR
which WIc
while W9l
whiskers WIskRz
white W9t
who hu
who's huz
whole hol
whom hum
whose huz
why W9
wicked wIkId
wild w9ld
will wIl
willing wIlIN
window wIndo
windows wIndoz
winnie wIni
winter wIntR
wish wIS
with wIT
without wITQt
woman wUm~
won't wont
wonder wAndR
wondered wAndRd
wonderful wAndRfL
wondering wAndRIN
wood wUd
wooden wUd~
woowoo wuwu
word w3d
words w3dz
work w3k
worked w3kt
working w3kIN
works w3ks
worn w%n
worry w3i
would wUd
wouldn't wUd~t
wrap r&p
wrapped r&pt
wrappings r&pINz
wrist rIst
write r9t
wrong rON
xylophone z9l6fon
yard y#d
yarn y#n
yawn yOn
yeah y&
year y(
years y(z
yelling yElIN
yellow yElo
yells yElz
yes yEs
yesterday yEstRde
yet yEt
yolk yok
york y%k
you yu
you'd yud
you'll yul
you're y)
you've yuv
younger yANgR
your y)
yours y)z
yourself y)sElf
youth yuT
zebra zibr6
zebras zibr6z
zinnias zIni6z
zip zIp
zipped zIpt
zipper zIpR
zipper's zIpRz
zippers zIpRz
zipping zIpIN
zips zIps
zoo zu
zoological zo6laGIkL
zoos zuz
